Category,Title,Points,Difficulty,Solves,URL,Slug,Description
General,Lemur XOR,40,Medium,13199,https://cryptohack.org/challenges/general/,xorimg1,I've hidden two cool images by XOR with the same secret key so you can't see them! This challenge requires performing a visual XOR between the RGB bytes of the two images - not an XOR of all the data 
General,Greatest Common Divisor,15,Easy,36199,https://cryptohack.org/challenges/general/,gcd,"The Greatest Common Divisor (GCD), sometimes known as the highest common factor, is the largest number which divides two positive integers $(a,b)$. For $a = 12, b = 8$ we can calculate the divisors of"
General,Extended GCD,20,Medium,29935,https://cryptohack.org/challenges/general/,egcd,"Let $a$ and $b$ be positive integers. The extended Euclidean algorithm is an efficient way to find integers $u,v$ such that $a \cdot u + b \cdot v = \gcd(a,b)$ Later, when we learn to decrypt RSA ciph"
General,Modular Arithmetic 1,20,Medium,29556,https://cryptohack.org/challenges/general/,ma0,Imagine you lean over and look at a cryptographer's notebook. You see some notes in the margin: 4 + 9 = 1 5 - 7 = 10 2 + 3 = 5 At first you might think they've gone mad. Maybe this is why there are so
General,Modular Arithmetic 2,20,Medium,28017,https://cryptohack.org/challenges/general/,ma1,"We'll pick up from the last challenge and imagine we've picked a modulus $p$, and we will restrict ourselves to the case when $p$ is prime. The integers modulo $p$ define a field, denoted $\Fp$. If th"
General,Modular Inverting,25,Medium,26903,https://cryptohack.org/challenges/general/,mdiv,"As we've seen, we can work within a finite field $\Fp$, adding and multiplying elements, and always obtain another element of the field. For all elements $g$ in the field, there exists a unique intege"
General,Privacy-Enhanced Mail?,25,Medium,9678,https://cryptohack.org/challenges/general/,pem1,"As we've seen in the encoding section, cryptography involves dealing with data in a wide variety of formats: big integers, raw bytes, hex strings and more. A few structured formats have been standardi"
General,CERTainly not,30,Medium,8735,https://cryptohack.org/challenges/general/,certainly,"As mentioned in the previous challenge, PEM is just a nice wrapper above DER encoded ASN.1. In some cases you may come across DER files directly; for instance many Windows utilities prefer to work wit"
General,SSH Keys,35,Medium,6880,https://cryptohack.org/challenges/general/,ssh-keys,Secure Shell Protocol (SSH) is a network protocol that uses cryptography to establish a secure channel over an insecure network (i.e. the internet). SSH enables developers and system administrators to
General,Transparency,50,Hard,6936,https://cryptohack.org/challenges/general/,transparency,CryptoHack challenge in General (50 pts).
Mathematics,Quadratic Residues,25,Medium,21832,https://cryptohack.org/challenges/maths/,root0,"We've looked at multiplication and division in modular arithmetic, but what does it mean to take the square root modulo an integer? For the following discussion, let's work modulo $p = 29$. We can tak"
Mathematics,Legendre Symbol,35,Medium,17190,https://cryptohack.org/challenges/maths/,root1,"In Quadratic Residues we learnt what it means to take the square root modulo an integer. We also saw that taking a root isn't always possible. In the previous case when $p = 29$, even the simplest met"
Mathematics,Modular Square Root,35,Medium,14547,https://cryptohack.org/challenges/maths/,tonelli-shanks,In Legendre Symbol we introduced a fast way to determine whether a number is a square root modulo a prime. We can go further: there are algorithms for efficiently calculating such roots. The best one 
Mathematics,Chinese Remainder Theorem,40,Medium,14958,https://cryptohack.org/challenges/maths/,crt1,"The Chinese Remainder Theorem gives a unique solution to a set of linear congruences if their moduli are coprime. This means, that given a set of arbitrary integers $a^{i}$, and pairwise coprime integ"
Mathematics,Successive Powers,60,Hard,5065,https://cryptohack.org/challenges/maths/,powers,"The following integers: $\{588, 665, 216, 113, 642, 4, 836, 114, 851, 492, 819, 237\}$ are successive large powers of an integer $x$, modulo a three digit prime $p$. Find $p$ and $x$ to obtain the fla"
Mathematics,Adrien&#39;s Signs,80,Hard,11353,https://cryptohack.org/challenges/maths/,adrien,Adrien's been looking at ways to encrypt his messages with the help of symbols and minus signs. Can you find a way to recover the flag? Challenge files: - source.py - output.txt -->
Mathematics,Modular Binomials,80,Hard,9443,https://cryptohack.org/challenges/maths/,bionomials,"Rearrange the following equations to get the primes p,q $N = p \cdot q$ $c_1 = (2 \cdot p + 3 \cdot q)^{e_1} \mod N$ $c_2 = (5 \cdot p + 7 \cdot q)^{e_2} \mod N$ Challenge files: - data.txt -->"
Mathematics,Broken RSA,100,Insane,3098,https://cryptohack.org/challenges/maths/,broken-rsa,"I tried to send you an important message with RSA, however I messed up my RSA implementation really badly. Can you still recover the flag? If you think you're doing the right thing but getting garbage"
Mathematics,No Way Back Home,100,Insane,2005,https://cryptohack.org/challenges/maths/,no-way-back-home,"Quantum Computers are going to break some of the standard cryptosystems like RSA, ECC and others. We're in some trouble, so why don't we make our own Quantum-Safe Key Exchange Protocol? Challenge file"
Mathematics,Ellipse Curve Cryptography,125,Insane,1481,https://cryptohack.org/challenges/maths/,ellipse,"I overheard my professor talking about ellipse curve cryptography. I tried googling it, but didn't find anything so I implemented it myself. Challenge files: - source.py - output.txt -->"
Mathematics,Roll your Own,125,Insane,1257,https://cryptohack.org/challenges/maths/,roll_your_own,"Cracking discrete logarithms is hard. Change my mind. I'll even let you to use your own parameters, as long as the modulus is of the given order. Connect at socket.cryptohack.org 13403 Challenge files"
Mathematics,Unencryptable,125,Insane,1843,https://cryptohack.org/challenges/maths/,unencryptable,"I swear I knew what I was doing, but I encrypted some data on my hard drive and nothing happened? RSA is so confusing. Luckily my flag is safe, but it seems I have a lot more learning to do. Challenge"
Mathematics,Cofactor Cofantasy,150,Insane,1111,https://cryptohack.org/challenges/maths/,cofactor,Do you have the power to break out of my cofactor cofantasy? Calculating the solution should take less than 15 minutes. Connect at socket.cryptohack.org 13398 Challenge files: - 13398.py Challenge con
Mathematics,Real Eisenstein,150,Insane,1193,https://cryptohack.org/challenges/maths/,eisenstein,I've hidden my secret among the primes. Reducing the number back down to the flag shouldn't be possible! Challenge files: - real_eisenstein.py Challenge contributed by ariana -->
Mathematics,Prime and Prejudice,200,Insane,1213,https://cryptohack.org/challenges/maths/,prejudice,"You may look through my window and see my flag, but to maintain my modesty, only the first character is available. Connect at socket.cryptohack.org 13385 Challenge files: - 13385.py -->"
Diffie-Hellman,Working with Fields,10,Easy,10664,https://cryptohack.org/challenges/diffie-hellman/,dh-starter-1,"The set of integers modulo $N$, together with the operations of both addition and multiplication forms a ring $\mathbb{Z}/ N\mathbb{Z}$. Fundamentally, this means that adding or multiplying any two el"
Diffie-Hellman,Generators of Groups,20,Medium,9287,https://cryptohack.org/challenges/diffie-hellman/,dh-starter-2,"Every element of a finite field $\Fp$ can be used to make a subgroup $H$ under repeated action of multiplication. In other words, for an element $g$ the subgroup $H = \langle g \rangle = \{g, g^2, g^3"
Diffie-Hellman,Computing Public Values,25,Medium,9344,https://cryptohack.org/challenges/diffie-hellman/,dh-starter-3,"The Diffie-Hellman protocol is used because the discrete logarithm is assumed to be a ""hard"" computation for carefully chosen groups. The first step of the protocol is to establish a prime $p$ and som"
Diffie-Hellman,Computing Shared Secrets,30,Medium,8963,https://cryptohack.org/challenges/diffie-hellman/,dh-starter-4,"Now it's time to calculate a shared secret using data received from your friend Alice. Like before, we will be using the NIST parameters: g: 2 p: 241031242692103258855207602219756607485695054850245994"
Diffie-Hellman,Deriving Symmetric Keys,40,Medium,8050,https://cryptohack.org/challenges/diffie-hellman/,dh-starter-5,Alice wants to send you her secret flag and asks you to generate a shared secret with her. She also tells you she will be using the NIST standard: g: 2 p: 241031242692103258855207602219756607485695054
Diffie-Hellman,Parameter Injection,60,Hard,6507,https://cryptohack.org/challenges/diffie-hellman/,parameter_injection,"You're in a position to not only intercept Alice and Bob's DH key exchange, but also rewrite their messages. Think about how you can play with the DH equation that they calculate, and therefore sidest"
Diffie-Hellman,Export-grade,100,Insane,5654,https://cryptohack.org/challenges/diffie-hellman/,export_grade,"Alice and Bob are using legacy codebases and need to negotiate parameters they both support. You've man-in-the-middled this negotiation step, and can passively observe thereafter. How are you going to"
Diffie-Hellman,Static Client,100,Insane,2596,https://cryptohack.org/challenges/diffie-hellman/,dh_static,You've just finished eavesdropping on a conversation between Alice and Bob. Now you have a chance to talk to Bob. What are you going to say? Connect at socket.cryptohack.org 13373 -->
Diffie-Hellman,Additive,70,Hard,2793,https://cryptohack.org/challenges/diffie-hellman/,dh_additive,"Alice and Bob decided to do their DHKE in an additive group rather than a multiplicative group. What could go wrong? Use the script from ""Deriving Symmetric Keys"" to decrypt the flag once you've recov"
Diffie-Hellman,Static Client 2,120,Insane,1910,https://cryptohack.org/challenges/diffie-hellman/,dh_static2,Bob got a bit more careful with the way he verifies parameters. He's still insisting on using the $p$ and $g$ values provided by his partner. Wonder if he missed anything? Connect at socket.cryptohack
Diffie-Hellman,Script Kiddie,70,Hard,2464,https://cryptohack.org/challenges/diffie-hellman/,scriptkiddie,Found this cool script on Github and I've been using it to keep my secrets from anyone listening in on the school wifi! Challenge files: - script.py - output.txt -->
Diffie-Hellman,The Matrix,75,Hard,1462,https://cryptohack.org/challenges/diffie-hellman/,matrix,"I must get out of here. I must get free, and in this mind is the key, my key! Challenge files: - the_matrix.sage - flag.enc Challenge contributed by jschnei -->"
Diffie-Hellman,The Matrix Reloaded,100,Insane,1025,https://cryptohack.org/challenges/diffie-hellman/,matrix_reloaded,"It's happening exactly as before... Well, not exactly. Challenge files: - matrix_reloaded.zip Challenge contributed by jschnei -->"
Diffie-Hellman,The Matrix Revolutions,125,Insane,833,https://cryptohack.org/challenges/diffie-hellman/,matrix_revolutions,"Everything that has a beginning has an end, Neo. Challenge files: - matrix_revolutions.zip Challenge contributed by jschnei -->"
RSA,Modular Exponentiation,10,Easy,19057,https://cryptohack.org/challenges/rsa/,rsa_starter_1,All operations in RSA involve modular exponentiation . Modular exponentiation is an operation that is used extensively in cryptography and is normally written like: $2^{10} \mod 17$ You can think of t
RSA,Public Keys,15,Easy,18232,https://cryptohack.org/challenges/rsa/,rsa_starter_2,"RSA encryption is modular exponentiation of a message with an exponent $e$ and a modulus $N$ which is normally a product of two primes: $N = p \cdot q$. Together, the exponent and modulus form an RSA "
RSA,Euler&#39;s Totient,20,Medium,17361,https://cryptohack.org/challenges/rsa/,rsa_starter_3,"RSA relies on the difficulty of the factorisation of the modulus N . If the prime factors can be deduced, then we can calculate the Euler totient of N and thus decrypt the ciphertext. Given $N = p \cd"
RSA,Private Keys,20,Medium,16518,https://cryptohack.org/challenges/rsa/,rsa_starter_4,"The private key $d$ is used to decrypt ciphertexts created with the corresponding public key (it's also used to ""sign"" a message but we'll get to that later). The private key is the secret piece of in"
RSA,RSA Decryption,20,Medium,15902,https://cryptohack.org/challenges/rsa/,rsa_starter_5,I've encrypted a secret number for your eyes only using your public key parameters: N = 882564595536224140639625987659416029426239230804614613279163 e = 65537 Use the private key that you found for th
RSA,RSA Signatures,25,Medium,12349,https://cryptohack.org/challenges/rsa/,rsa_starter_6,"How can you ensure that the person receiving your message knows that you wrote it? You've been asked out on a date, and you want to send a message telling them that you'd love to go, however a jealous"
RSA,Factoring,15,Easy,12250,https://cryptohack.org/challenges/rsa/,rsa_factoring,"So far we've been using the product of small primes for the modulus, but small primes aren't much good for RSA as they can be factorised using modern methods . What is a ""small prime""? There was an RS"
RSA,Inferius Prime,30,Medium,7897,https://cryptohack.org/challenges/rsa/,inferius,"Here is my super-strong RSA implementation, because it's 1600 bits strong it should be unbreakable... at least I think so! Challenge files: - inferius.py - output.txt -->"
RSA,Monoprime,30,Medium,11222,https://cryptohack.org/challenges/rsa/,monoprime,Why is everyone so obsessed with multiplying two primes for RSA. Why not just use one? Challenge files: - output.txt Resources: - Why do we need in RSA the modulus to be product of 2 primes? -->
RSA,Square Eyes,35,Medium,7384,https://cryptohack.org/challenges/rsa/,square,"It was taking forever to get a 2048 bit prime, so I just generated one and used it twice. If you're stuck, look again at the formula for Euler's totient. Challenge files: - output.txt -->"
RSA,Manyprime,40,Medium,9870,https://cryptohack.org/challenges/rsa/,manyprime,"Using one prime factor was definitely a bad idea so I'll try using over 30 instead. If it's taking forever to factorise, read up on factorisation algorithms and make sure you're using one that's optim"
RSA,Salty,20,Medium,10087,https://cryptohack.org/challenges/rsa/,salty,"Smallest exponent should be fastest, right? Challenge files: - salty.py - output.txt -->"
RSA,Modulus Inutilis,50,Hard,9414,https://cryptohack.org/challenges/rsa/,modulus_inutilis,My primes should be more than large enough now! Challenge files: - modulus_inutilis.py - output.txt -->
RSA,Everything is Big,70,Hard,5460,https://cryptohack.org/challenges/rsa/,big,"We have a supercomputer at work, so I've made sure my encryption is secure by picking massive numbers! Challenge files: - source.py - output.txt -->"
RSA,Crossed Wires,100,Insane,4885,https://cryptohack.org/challenges/rsa/,wires,"I asked my friends to encrypt our secret flag before sending it to me, but instead of using my key, they've all used their own! Can you help? Challenge files: - source.py - output.txt Resources: - RSA"
RSA,Everything is Still Big,100,Insane,4140,https://cryptohack.org/challenges/rsa/,big2,"Okay so I got a bit carefree with my last script, but this time I've protected myself while keeping everything really big. Nothing will stop me and my supercomputer now! Challenge files: - source.py -"
RSA,Endless Emails,150,Insane,3513,https://cryptohack.org/challenges/rsa/,johan,Poor Johan has been answering emails all day and many of the students are asking the same question. Can you read his messages? Challenge files: - johan.py - output.txt Resources: - Twenty Years of Att
RSA,Infinite Descent,50,Hard,4263,https://cryptohack.org/challenges/rsa/,infinite_descent,"Finding large primes is slow, so I've devised an optimisation. Challenge files: - descent.py - output.txt -->"
RSA,Marin&#39;s Secrets,50,Hard,4145,https://cryptohack.org/challenges/rsa/,marin,I've found a super fast way to generate primes from my secret list. Challenge files: - marin.py - output.txt -->
RSA,Fast Primes,75,Hard,2822,https://cryptohack.org/challenges/rsa/,fast_primes,I need to produce millions of RSA keys quickly and the standard way just doesn't cut it. Here's yet another fast way to generate primes which has actually resisted years of review. Challenge files: - 
RSA,"Ron was Wrong, Whit is Right",90,Insane,2801,https://cryptohack.org/challenges/rsa/,ron_was_wrong,"Here's a bunch of RSA public keys I gathered from people on the net together with messages that they sent. As excerpt.py shows, everyone was using PKCS#1 OAEP to encrypt their own messages. It shouldn"
RSA,RSA Backdoor Viability,175,Insane,2140,https://cryptohack.org/challenges/rsa/,rsa_backdoor,"It seems like my method to generate fast primes was not completely secure. I came up with a new approach to improve security, including a factorization backdoor in case I ever lose my private key. You"
RSA,Bespoke Padding,100,Insane,1940,https://cryptohack.org/challenges/rsa/,bespoke,"Been cooking up my own padding scheme, now my encrypted flag is different everytime! Connect at socket.cryptohack.org 13386 Challenge files: - 13386.py -->"
RSA,Null or Never,100,Insane,2094,https://cryptohack.org/challenges/rsa/,null_padding,Can custom padding save one from some of the mistakes we already covered? Challenge files: - pad_encrypt.py - output.txt -->
RSA,Signing Server,60,Hard,2829,https://cryptohack.org/challenges/rsa/,signing_server,My boss has so many emails he's set up a server to just sign everything automatically. He also stores encrypted messages to himself for easy access. I wonder what he's been saying. Connect at socket.c
RSA,Let&#39;s Decrypt,80,Hard,2074,https://cryptohack.org/challenges/rsa/,lets_decrypt,"If you can prove you own CryptoHack.org, then you get access to one of our secrets. Connect at socket.cryptohack.org 13391 Challenge files: - 13391.py -->"
RSA,Blinding Light,120,Insane,2009,https://cryptohack.org/challenges/rsa/,rsa_blinding,"Here's my token signing and verification server. I'm not sure it's doing signing properly, but I've implemented some safeguards to ensure it won't hand out admin tokens to just anyone. Connect at sock"
RSA,Vote for Pedro,150,Insane,1714,https://cryptohack.org/challenges/rsa/,pedro,"If you want my flag, you better vote for Pedro! Can you sign your vote to the server as Alice? Connect at socket.cryptohack.org 13375 Challenge files: - 13375.py - alice.key -->"
RSA,Let&#39;s Decrypt Again,175,Insane,1185,https://cryptohack.org/challenges/rsa/,lets_decrypt_2,"Let's Decrypt was too easy, let's do it again! Connect at socket.cryptohack.org 13394 Challenge files: - 13394.py Challenge contributed by Robin_Jadoul and Thunderlord -->"
Block Ciphers (AES),Keyed Permutations,5,Easy,20922,https://cryptohack.org/challenges/aes/,aes0,"AES, like all good block ciphers, performs a ""keyed permutation"". This means that it maps every possible input block to a unique output block, with a key determining which permutation to perform. A ""b"
Block Ciphers (AES),Resisting Bruteforce,10,Easy,19252,https://cryptohack.org/challenges/aes/,aes1,"If a block cipher is secure, there should be no way for an attacker to distinguish the output of AES from a random permutation of bits. Furthermore, there should be no better way to undo the permutati"
Block Ciphers (AES),Structure of AES,15,Easy,15880,https://cryptohack.org/challenges/aes/,aes2,"To achieve a keyed permutation that is infeasible to invert without the key, AES applies a large number of ad-hoc mixing operations on the input. This is in stark contrast to public-key cryptosystems "
Block Ciphers (AES),Round Keys,20,Medium,14709,https://cryptohack.org/challenges/aes/,aes3,"We're going to skip over the finer details of the KeyExpansion phase for now. The main point is that it takes in our 16 byte key and produces 11 4x4 matrices called ""round keys"" derived from our initi"
Block Ciphers (AES),Confusion through Substitution,25,Medium,13336,https://cryptohack.org/challenges/aes/,aes4,The first step of each AES round is SubBytes . This involves taking each byte of the state matrix and substituting it for a different byte in a preset 16x16 lookup table. The lookup table is called a 
Block Ciphers (AES),Diffusion through Permutation,30,Medium,12198,https://cryptohack.org/challenges/aes/,aes5,"We've seen how S-box substitution provides confusion. The other crucial property described by Shannon is ""diffusion"". This relates to how every part of a cipher's input should spread to every part of "
Block Ciphers (AES),Bringing It All Together,50,Hard,10505,https://cryptohack.org/challenges/aes/,aes6,"Apart from the KeyExpansion phase, we've sketched out all the components of AES. We've shown how SubBytes provides confusion and ShiftRows and MixColumns provide diffusion, and how these two propertie"
Block Ciphers (AES),Modes of Operation Starter,15,Easy,11058,https://cryptohack.org/challenges/aes/,block_cipher_starter,"The previous set of challenges showed how AES performs a keyed permutation on a block of data. In practice, we need to encrypt messages much longer than a single block. A mode of operation describes h"
Block Ciphers (AES),Passwords as Keys,50,Hard,9508,https://cryptohack.org/challenges/aes/,passwords_as_keys,"It is essential that keys in symmetric-key algorithms are random bytes, instead of passwords or other predictable data. The random bytes should be generated using a cryptographically-secure pseudorand"
Block Ciphers (AES),ECB CBC WTF,55,Hard,8110,https://cryptohack.org/challenges/aes/,ecbcbcwtf,Here you can encrypt in CBC but only decrypt in ECB. That shouldn't be a weakness because they're different modes... right? Play at https://aes.cryptohack.org/ecbcbcwtf -->
Block Ciphers (AES),ECB Oracle,60,Hard,8126,https://cryptohack.org/challenges/aes/,ecb_oracle,"ECB is the most simple mode, with each plaintext block encrypted entirely independently. In this case, your input is prepended to the secret flag and encrypted and that's it. We don't even provide a d"
Block Ciphers (AES),Flipping Cookie,60,Hard,7338,https://cryptohack.org/challenges/aes/,flipping_cookie,"You can get a cookie for my website, but it won't help you read the flag... I think. Play at https://aes.cryptohack.org/flipping_cookie -->"
Block Ciphers (AES),Lazy CBC,60,Hard,4386,https://cryptohack.org/challenges/aes/,lazy_cbc,I'm just a lazy dev and want my CBC encryption to work. What's all this talk about initialisations vectors? Doesn't sound important. Play at https://aes.cryptohack.org/lazy_cbc -->
Block Ciphers (AES),Triple DES,60,Hard,3387,https://cryptohack.org/challenges/aes/,triple_des,"Data Encryption Standard was the forerunner to AES, and is still widely used in some slow-moving areas like the Payment Card Industry. This challenge demonstrates a strange weakness of DES which a sec"
Block Ciphers (AES),Symmetry,50,Hard,6515,https://cryptohack.org/challenges/aes/,symmetry,"Some block cipher modes, such as OFB, CTR, or CFB, turn a block cipher into a stream cipher. The idea behind stream ciphers is to produce a pseudorandom keystream which is then XORed with the plaintex"
Block Ciphers (AES),Bean Counter,60,Hard,6102,https://cryptohack.org/challenges/aes/,bean_counter,"I've struggled to get PyCrypto's counter mode doing what I want, so I've turned ECB mode into CTR myself. My counter can go both upwards and downwards to throw off cryptanalysts! There's no chance the"
Block Ciphers (AES),CTRIME,70,Hard,3089,https://cryptohack.org/challenges/aes/,ctrime,"There may be a lot of redundancy in our plaintext, so why not compress it first? Play at https://aes.cryptohack.org/ctrime -->"
Block Ciphers (AES),Logon Zero,80,Hard,2329,https://cryptohack.org/challenges/aes/,logon-zero,"Before using the network, you must authenticate to Active Directory using our timeworn CFB-8 logon protocol. Connect at socket.cryptohack.org 13399 Challenge files: - 13399.py Challenge contributed by"
Block Ciphers (AES),Stream of Consciousness,80,Hard,2635,https://cryptohack.org/challenges/aes/,stream_consciousness,Talk to me and hear a sentence from my encrypted stream of consciousness. Play at https://aes.cryptohack.org/stream_consciousness -->
Block Ciphers (AES),Dancing Queen,120,Insane,1750,https://cryptohack.org/challenges/aes/,dancing-queen,"I don't trust other developers so I made my own ChaCha20 implementation. In this way, I am sure you will never be able to read my flag! Challenge files: - chacha20.py - output.txt Challenge contribute"
Block Ciphers (AES),Oh SNAP,120,Insane,1500,https://cryptohack.org/challenges/aes/,oh_snap,"Here's the start of my fast network authentication protocol, so far I've only implemented the ""Ping"" command so there shouldn't be any way to recover the key. Play at https://aes.cryptohack.org/oh_sna"
Block Ciphers (AES),Pad Thai,80,Hard,1232,https://cryptohack.org/challenges/aes/,pad_thai,Sometimes the classic challenges can be the most delicious Connect at socket.cryptohack.org 13421 Challenge files: - 13421.py Challenge contributed by Eli Sohl -->
Block Ciphers (AES),"The Good, The Pad, The Ugly",100,Insane,968,https://cryptohack.org/challenges/aes/,good_pad_ugly,"The first twist of the classic challenge, how can you handle an oracle with errors? Connect at socket.cryptohack.org 13422 Challenge files: - 13422.py Challenge contributed by Eli Sohl -->"
Block Ciphers (AES),Oracular Spectacular,150,Insane,563,https://cryptohack.org/challenges/aes/,oracular_spectacular,This oracle lies! Can you still recover the message XOR are you going to have to give up? Connect at socket.cryptohack.org 13423 Challenge files: - 13423.py Challenge contributed by Eli Sohl -->
Block Ciphers (AES),Paper Plane,120,Insane,1376,https://cryptohack.org/challenges/aes/,paper_plane,I've found an authenticated encryption mode called Infinite Garble Extension where an error in a single bit will corrupt the rest of the ciphertext. Seems like a great way to protect chat messages fro
Block Ciphers (AES),Forbidden Fruit,150,Insane,1042,https://cryptohack.org/challenges/aes/,forbidden_fruit,"Galois Counter Mode (GCM) is the most widely used block cipher mode in TLS today. It's an ""authenticated encryption with associated data"" cipher mode ( AEAD ), yet not resistant to misuse. See here fo"
Block Ciphers (AES),Beatboxer,150,Insane,710,https://cryptohack.org/challenges/aes/,beatboxer,Welcome to my military grade encryption service! It's based on AES but with some tweaks to make it NSA-proof. Connect at socket.cryptohack.org 13406 Challenge files: - 13406.py Challenge contributed b
Elliptic Curves,Background Reading,5,Easy,7226,https://cryptohack.org/challenges/ecc/,bg,"Elliptic Curve Cryptography (ECC) is an asymmetric cryptographic protocol that, like RSA and Diffie-Hellman (DH), relies on a trapdoor function. To recap: trapdoor functions allow a client to keep dat"
Elliptic Curves,Point Negation,10,Easy,6291,https://cryptohack.org/challenges/ecc/,ecc0,"In the background section, we covered the basics of how we can view point addition over an elliptic curve as being an abelian group operation. In this geometric picture we allowed the coordinates on t"
Elliptic Curves,Point Addition,30,Medium,5601,https://cryptohack.org/challenges/ecc/,ecc1,"While working with elliptic curve cryptography, we will need to add points together. In the background challenges, we did this geometrically by finding a line that passed through two points, finding t"
Elliptic Curves,Scalar Multiplication,35,Medium,5101,https://cryptohack.org/challenges/ecc/,ecc2,"Scalar multiplication of two points is defined by repeated addition: $[3]P = P + P + P$. In the next few challenges, we will use scalar multiplication to create a shared secret over an insecure channe"
Elliptic Curves,Curves and Logs,40,Medium,4858,https://cryptohack.org/challenges/ecc/,ecc3,"The Elliptic Curve Discrete Logarithm Problem (ECDLP) is the problem of finding an integer $n$ such that $Q = [n]P$. Like we encountered with the discrete logarithm problem, scalar multiplication of a"
Elliptic Curves,Efficient Exchange,50,Hard,4399,https://cryptohack.org/challenges/ecc/,ecc4,Alice and Bob are looking at the Elliptic Curve Discrete Logarithm Problem and thinking about the data they send. They want to try and keep their data transfer as efficient as possible and realise tha
Elliptic Curves,Smooth Criminal,60,Hard,3019,https://cryptohack.org/challenges/ecc/,criminal,"Spent my morning reading up on ECC and now I'm ready to start encrypting my messages. Sent a flag to Bob today, but you'll never read it. Challenge files: - source.py - output.txt -->"
Elliptic Curves,Exceptional Curves,100,Insane,1567,https://cryptohack.org/challenges/ecc/,exceptional,Learning from my mistakes... This time I've ensured my curve is of prime order. This flag will be safe forever. Challenge files: - source.sage - output.txt -->
Elliptic Curves,Micro Transmissions,120,Insane,1180,https://cryptohack.org/challenges/ecc/,micro,Been fine tuning my bit lengths to ensure my data packages and calculation times are super efficient. Challenge files: - source.sage - output.txt -->
Elliptic Curves,Elliptic Nodes,150,Insane,1121,https://cryptohack.org/challenges/ecc/,node,"I've included an extra layer of security by picking my own curve parameters a,b and keeping them secret. Challenge files: - output.txt - source.py -->"
Elliptic Curves,Moving Problems,150,Insane,1906,https://cryptohack.org/challenges/ecc/,moving,"I've learnt that when life gives you lemons, if you look at things the right way they taste just like pairs. Challenge files: - source.sage - output.txt -->"
Elliptic Curves,A Twisted Mind,80,Hard,403,https://cryptohack.org/challenges/ecc/,twisted_mind,"I implemented the scalar multiplication from another challenge. It is secure enough, so you will never guess my private key! You are allowed to send *two* base points, and I give you *two minutes* to "
Elliptic Curves,An Exceptional Twisted Mind,125,Insane,301,https://cryptohack.org/challenges/ecc/,exceptional_twisted_mind,"For this last one, I chose a very secure elliptic curve. Finally, my private key is safe. You are allowed to send *one* base point, and you have *30 seconds* to find my private key. Connect at socket."
